,0,1,2,3,4,5
10652,manor,,,,,
10653,westminster,,,,,
10654,goose creek,,,,,
10655,palatka,,,,,
10656,wilson,,,,,
10657,clearwater,,,,,
10658,racine,,,,,
10659,bridgeport,,,,,
10660,pacoima,,,,,
10661,bourbonnais,,,,,
10662,cypress,,,,,
10663,san juan,,,,,
10664,warner robins,,,,,
10665,milwaukee,,,,,
10666,avondale,,,,,
10667,jamestown,,,,,
10668,stafford,,,,,
10669,lodi,,,,,
10670,clay city,,,,,
10671,odessa,,,,,
10672,round rock,,,,,
10673,yuma,,,,,
10674,wylie,,,,,
10675,milwaukee,,,,,
10676,las piedras,,,,,
10677,fairfax,,,,,
10678,scottsdale,,,,,
10679,fresnillo,,,,,
10680,grand blanc,,,,,
10681,norfolk,,,,,
10682,lexington,,,,,
10683,belleville,,,,,
10684,kent,,,,,
10685,lake jackson,,,,,
10686,grand blanc,,,,,
10687,jersey city,,,,,
10688,norfolk,,,,,
10689,festus,,,,,
10690,lexington,,,,,
10691,rockford,,,,,
10692,corpus christi,,,,,
10693,portsmouth,,,,,
10694,huntington park,,,,,
10695,apopka,,,,,
10696,pacoima,,,,,
10697,west memphis,,,,,
10698,belleville,,,,,
10699,montgomery,,,,,
10700,warner robins,,,,,
10701,grand prairie,,,,,
10702,south bend,,,,,
10703,winston-salem,,,,,
10704,bridgeport,,,,,
10705,belleville,,,,,
10706,cedar city,,,,,
10707,north augusta,,,,,
10708,mchenry,,,,,
10709,glen burnie,,,,,
10710,kent,,,,,
10711,holland,,,,,
10712,florence,,,,,
10713,galesburg,,,,,
10714,eau claire,,,,,
10715,sierra vista,,,,,
10716,loganville,,,,,
10717,montrose,,,,,
10718,bakersfield,,,,,
10719,honolulu,,,,,
10720,herndon,,,,,
10721,milwaukee,,,,,
10722,oak grove,,,,,
10723,montebello,,,,,
10724,lexington,,,,,
10725,laplace,,,,,
10726,bakersfield,,,,,
10727,suffolk,,,,,
10728,mastic,,,,,
10729,belleville,,,,,
10730,carmichael,,,,,
10731,el campo,,,,,
10732,milwaukee,,,,,
10733,milwaukee,,,,,
10734,yucaipa,,,,,
10735,west springfield,,,,,
10736,goshen,,,,,
10737,elk grove,,,,,
10738,rockford,,,,,
10739,milton,,,,,
10740,mill valley,,,,,
10741,winston-salem,,,,,
10742,merrillville,,,,,
10743,maryville,,,,,
10744,griffin,,,,,
10745,coamo,,,,,
10746,cartersville,,,,,
10747,milwaukee,,,,,
10748,quincy,,,,,
10749,little rock,,,,,
10750,portsmouth,,,,,
10751,danville,,,,,
10752,zanesville,,,,,
10753,cedar rapids,,,,,
10754,ossining,,,,,
10755,palatka,,,,,
10756,waterbury,,,,,
10757,san juan,,,,,
10758,cumberland,,,,,
10759,belleville,,,,,
10760,slidell,,,,,
10761,fargo,,,,,
10762,napa,,,,,
10763,san juan,,,,,
10764,honolulu,,,,,
10765,belleville,,,,,
10766,san juan,,,,,
10767,venice,,,,,
10768,maryville,,,,,
10769,largo,,,,,
10770,goldsboro,,,,,
10771,norwalk,,,,,
10772,portsmouth,,,,,
10773,surprise,,,,,
10774,balcones heights,,,,,
10775,moultrie,,,,,
10776,belleville,,,,,
10777,gretna,,,,,
10778,corona,,,,,
10779,florence,,,,,
10780,colonial heights,,,,,
10781,bronxville,,,,,
10782,cassville,,,,,
10783,radcliff,,,,,
10784,lares,,,,,
10785,kent,,,,,
10786,san luis río colorado,,,,,
10787,clearwater,,,,,
10788,east orange,,,,,
10789,wilson,,,,,
10790,irwin,,,,,
10791,american fork,,,,,
10792,norwalk,,,,,
10793,olympia,,,,,
10794,cypress,,,,,
10795,panama city,,,,,
10796,kernersville,,,,,
10797,shelby,,,,,
10798,rossville,,,,,
10799,tuscaloosa,,,,,
10800,norfolk,,,,,
10801,mt. dora,,,,,
10802,bourbonnais,,,,,
10803,manito,,,,,
10804,downey,,,,,
10805,addison,,,,,
10806,hanford,,,,,
10807,duluth,,,,,
10808,kent,,,,,
10809,williamston,,,,,
10810,bridgeport,,,,,
10811,savannah,,,,,
10812,broomfield,,,,,
10813,westminster,,,,,
10814,little rock,,,,,
10815,hobbs,,,,,
10816,hobbs,,,,,
10817,belleville,,,,,
10818,danville,,,,,
10819,taylor,,,,,
10820,bridgeton,,,,,
10821,bowling green,,,,,
10822,corvallis,,,,,
10823,altoona,,,,,
10824,honolulu,,,,,
10825,west sacramento,,,,,
10826,fresnillo,,,,,
10827,germantown,,,,,
10828,savannah,,,,,
10829,montebello,,,,,
10830,hammond,,,,,
10831,theodore,,,,,
10832,norfolk,,,,,
10833,belleville,,,,,
10834,spring valley,,,,,
10835,savannah,,,,,
10836,smyrna,,,,,
10837,kent,,,,,
10838,port saint lucie,,,,,
10839,norfolk,,,,,
10840,stoneham,,,,,
10841,jamestown,,,,,
10842,lakeland,,,,,
10843,pine hills,,,,,
10844,milwaukee,,,,,
10845,milwaukee,,,,,
10846,brownsville,,,,,
10847,waterbury,,,,,
10848,winston-salem,,,,,
10849,bullhead city,,,,,
10850,walnut,,,,,
10851,bowling green,,,,,
10852,skokie,,,,,
10853,grovetown,,,,,
10854,new windsor,,,,,
10855,kamas,,,,,
10856,front royal,,,,,
10857,blue springs,,,,,
10858,surprise,,,,,
10859,racine,,,,,
10860,san juan,,,,,
10861,chalmette,,,,,
10862,highland park,,,,,
10863,corona,,,,,
10864,upper marlboro,,,,,
10865,alice,,,,,
10866,quincy,,,,,
10867,south bend,,,,,
10868,brownsville,,,,,
10869,kent,,,,,
10870,pacoima,,,,,
10871,fruitland,,,,,
10872,hendersonville,,,,,
10873,east orange,,,,,
10874,weatherford,,,,,
10875,corpus christi,,,,,
10876,orland park,,,,,
10877,montgomery,,,,,
10878,west monroe,,,,,
10879,lockport,,,,,
10880,carson,,,,,
10881,racine,,,,,
10882,suffolk,,,,,
10883,corpus christi,,,,,
10884,odessa,,,,,
10885,rossville,,,,,
10886,apollo,,,,,
10887,bakersfield,,,,,
10888,easton,,,,,
10889,whiting,,,,,
10890,belton,,,,,
10891,grand prairie,,,,,
10892,frankfort,,,,,
10893,lake charles,,,,,
10894,round rock,,,,,
10895,barrington,,,,,
10896,hammond,,,,,
10897,wappingers falls,,,,,
10898,johnson city,,,,,
10899,draper,,,,,
10900,rossville,,,,,
10901,salem,,,,,
10902,belleville,,,,,
10903,clovis,,,,,
10904,surprise,,,,,
10905,milwaukee,,,,,
10906,montgomery,,,,,
10907,brawley,,,,,
10908,taunton,,,,,
10909,grants pass,,,,,
10910,kent,,,,,
10911,danville,,,,,
10912,ballwin,,,,,
10913,monsey,,,,,
10914,bourbonnais,,,,,
10915,palatka,,,,,
10916,bakersfield,,,,,
10917,cypress,,,,,
10918,stoneham,,,,,
10919,lakeland,,,,,
10920,grand prairie,,,,,
10921,belleville,,,,,
10922,kearney,,,,,
10923,stoneham,,,,,
10924,goose creek,,,,,
10925,ypsilanti,,,,,
10926,milwaukee,,,,,
10927,gaithersburg,,,,,
10928,hancock,,,,,
10929,honolulu,,,,,
10930,maple shade township,,,,,
10931,london,,,,,
10932,glen burnie,,,,,
10933,bakersfield,,,,,
10934,san juan,,,,,
10935,oak ridge,,,,,
10936,belleville,,,,,
10937,kent,,,,,
10938,salem,,,,,
10939,boiling springs,,,,,
10940,norfolk,,,,,
10941,mount holly,,,,,
10942,mount holly,,,,,
10943,painesville,,,,,
10944,norristown,,,,,
10945,middleboro,,,,,
10946,gettysburg,,,,,
10947,morrow,,,,,
10948,corona,,,,,
10949,bridgeport,,,,,
10950,utica,,,,,
10951,riverhead,,,,,
10952,olympia,,,,,
10953,athol,,,,,
10954,wilson,,,,,
10955,goose creek,,,,,
10956,bullhead city,,,,,
10957,south bend,,,,,
10958,ypsilanti,,,,,
10959,silver springs,,,,,
10960,leavenworth,,,,,
10961,san juan,,,,,
10962,north augusta,,,,,
10963,cedar rapids,,,,,
10964,salem,,,,,
10965,bowling green,,,,,
10966,north augusta,,,,,
10967,hurricane,,,,,
10968,woodland,,,,,
10969,saint james,,,,,
10970,rockford,,,,,
10971,passaic,,,,,
10972,san jacinto,,,,,
10973,norfolk,,,,,
10974,south bend,,,,,
10975,corona,,,,,
10976,hoffman estates,,,,,
10977,el campo,,,,,
10978,hanover,,,,,
10979,new kensington,,,,,
10980,mount airy,,,,,
10981,east orange,,,,,
10982,belton,,,,,
10983,lithonia,,,,,
10984,kent,,,,,
10985,goshen,,,,,
10986,maple grove,,,,,
10987,belleville,,,,,
10988,norfolk,,,,,
10989,goshen,,,,,
10990,grand prairie,,,,,
10991,vestal,,,,,
10992,texas city,,,,,
10993,grand blanc,,,,,
10994,rolla,,,,,
10995,tuttle,,,,,
10996,yuma,,,,,
10997,goshen,,,,,
10998,seneca falls,,,,,
10999,new kensington,,,,,
11000,south bend,,,,,
11001,montgomery,,,,,
11002,chanhassen,,,,,
11003,chanhassen,,,,,
11004,greenwood lake,,,,,
11005,venice,,,,,
11006,holland,,,,,
11007,massillon,,,,,
11008,delton,,,,,
11009,jersey city,,,,,
11010,florence,,,,,
11011,staunton,,,,,
11012,spartanburg,,,,,
11013,binghamton,,,,,
11014,west monroe,,,,,
11015,corona,,,,,
11016,uniontown,,,,,
11017,kent,,,,,
11018,deridder,,,,,
11019,goshen,,,,,
11020,laredo,,,,,
11021,college station,,,,,
11022,balcones heights,,,,,
11023,roxboro,,,,,
11024,honolulu,,,,,
11025,pacoima,,,,,
11026,west bend,,,,,
11027,weslaco,,,,,
11028,yuma,,,,,
11029,sun city center,,,,,
11030,danville,,,,,
11031,loiza,,,,,
11032,overland,,,,,
11033,palatka,,,,,
11034,kent,,,,,
11035,grand blanc,,,,,
11036,greer,,,,,
11037,norfolk,,,,,
11038,belleville,,,,,
11039,wytheville,,,,,
11040,waterbury,,,,,
11041,blythe,,,,,
11042,brockton,,,,,
11043,pacoima,,,,,
11044,scurry,,,,,
11045,bridgeton,,,,,
11046,palatka,,,,,
11047,new baltimore,,,,,
11048,san juan,,,,,
11049,norfolk,,,,,
11050,del rio,,,,,
11051,apopka,,,,,
11052,belleville,,,,,
11053,surprise,,,,,
11054,willowbrook,,,,,
11055,surprise,,,,,
11056,belleville,,,,,
11057,north port,,,,,
11058,corpus christi,,,,,
11059,savannah,,,,,
11060,larose,,,,,
11061,frankfort,,,,,
11062,palatka,,,,,
11063,overland,,,,,
11064,lithonia,,,,,
11065,oil springs,,,,,
11066,grand prairie,,,,,
11067,brownsville,,,,,
11068,norwalk,,,,,
11069,chalmette,,,,,
11070,pacoima,,,,,
11071,san juan,,,,,
11072,chalmette,,,,,
11073,weslaco,,,,,
11074,panama city,,,,,
11075,west springfield,,,,,
11076,temple,,,,,
11077,florence,,,,,
11078,belleville,,,,,
11079,milwaukee,,,,,
11080,lockport,,,,,
11081,ciudad juárez,,,,,
11082,milwaukee,,,,,
11083,holland,,,,,
11084,jersey city,,,,,
11085,kent,,,,,
11086,athol,,,,,
11087,florence,,,,,
11088,pittsburg,,,,,
11089,tuscaloosa,,,,,
11090,apopka,,,,,
11091,shelbyville,,,,,
11092,milwaukee,,,,,
11093,berlin,,,,,
11094,milwaukee,,,,,
11095,pacoima,,,,,
11096,bakersfield,,,,,
11097,honolulu,,,,,
11098,milton,,,,,
11099,foley,,,,,
11100,bridgeville,,,,,
11101,lexington,,,,,
11102,belleville,,,,,
11103,san juan,,,,,
11104,staunton,,,,,
11105,milwaukee,,,,,
11106,bakersfield,,,,,
11107,kent,,,,,
11108,westminster,,,,,
11109,cassville,,,,,
11110,port arthur,,,,,
11111,milwaukee,,,,,
11112,portsmouth,,,,,
11113,hoffman estates,,,,,
11114,san juan,,,,,
11115,goldsboro,,,,,
11116,lake charles,,,,,
11117,jersey city,,,,,
11118,hammond,,,,,
11119,streamwood,,,,,
11120,plano,,,,,
11121,kent,,,,,
11122,olympia,,,,,
11123,goose creek,,,,,
11124,lexington,,,,,
11125,bakersfield,,,,,
11126,goshen,,,,,
11127,milwaukee,,,,,
11128,grand prairie,,,,,
11129,camarillo,,,,,
11130,boiling springs,,,,,
11131,westbury,,,,,
11132,downey,,,,,
11133,red lion,,,,,
11134,rye,,,,,
11135,laredo,,,,,
11136,white lake,,,,,
11137,bridgeport,,,,,
11138,london,,,,,
11139,elmwood park,,,,,
11140,kent,,,,,
11141,bakersfield,,,,,
11142,chalmette,,,,,
11143,honolulu,,,,,
11144,madisonville,,,,,
11145,union city,,,,,
11146,west new york,,,,,
11147,rio grande,,,,,
11148,gettysburg,,,,,
11149,willowbrook,,,,,
11150,kent,,,,,
11151,neptune city,,,,,
11152,stafford,,,,,
11153,ventnor city,,,,,
11154,deridder,,,,,
11155,lawrence,,,,,
11156,vestal,,,,,
11157,kent,,,,,
11158,east chicago,,,,,
11159,parkersburg,,,,,
11160,milwaukee,,,,,
11161,athol,,,,,
11162,blue springs,,,,,
11163,inman,,,,,
11164,bullhead city,,,,,
11165,ocoee,,,,,
11166,pasong tamo,,,,,
11167,bogalusa,,,,,
11168,homosassa,,,,,
11169,wilson,,,,,
11170,abilene,,,,,
11171,duson,,,,,
11172,penns grove,,,,,
11173,milwaukee,,,,,
11174,las piedras,,,,,
11175,west fargo,,,,,
11176,zanesville,,,,,
11177,belleville,,,,,
11178,lexington,,,,,
11179,norristown,,,,,
11180,milwaukee,,,,,
11181,clewiston,,,,,
11182,san juan,,,,,
11183,williamston,,,,,
11184,kent,,,,,
11185,pickens,,,,,
11186,las piedras,,,,,
11187,santo domingo este,,,,,
11188,pittsburg,,,,,
11189,summit,,,,,
11190,portsmouth,,,,,
11191,corpus christi,,,,,
11192,stafford,,,,,
11193,pinellas park,,,,,
11194,hammond,,,,,
11195,belleville,,,,,
11196,milwaukee,,,,,
11197,hammonton,,,,,
11198,south bend,,,,,
11199,odessa,,,,,
11200,bowling green,,,,,
11201,fulton,,,,,
11202,perry,,,,,
11203,savannah,,,,,
11204,laredo,,,,,
11205,kent,,,,,
11206,cedar rapids,,,,,
11207,huntington,,,,,
11208,elkton,,,,,
11209,kent,,,,,
11210,fulton,,,,,
11211,danville,,,,,
11212,milwaukee,,,,,
11213,milwaukee,,,,,
11214,summit,,,,,
11215,millington,,,,,
11216,willowbrook,,,,,
11217,abbeville,,,,,
11218,altoona,,,,,
11219,eustis,,,,,
11220,germantown,,,,,
11221,huntington,,,,,
11222,tuscaloosa,,,,,
11223,honolulu,,,,,
11224,bridgeport,,,,,
11225,reidsville,,,,,
11226,carson,,,,,
11227,moorhead,,,,,
11228,senatobia,,,,,
11229,germantown,,,,,
11230,barranquilla,,,,,
11231,pacoima,,,,,
11232,carmichael,,,,,
11233,milwaukee,,,,,
11234,bakersfield,,,,,
11235,south lyon,,,,,
11236,san juan,,,,,
11237,wallington,,,,,
11238,norfolk,,,,,
11239,norfolk,,,,,
11240,takoma park,,,,,
11241,griffin,,,,,
11242,clewiston,,,,,
11243,loma linda,,,,,
11244,lexington,,,,,
11245,cypress,,,,,
11246,hammond,,,,,
11247,cartersville,,,,,
11248,south bend,,,,,
11249,salem,,,,,
11250,lawton,,,,,
11251,erie,,,,,
11252,pacoima,,,,,
11253,san luis río colorado,,,,,
11254,montebello,,,,,
11255,grand blanc,,,,,
11256,honolulu,,,,,
11257,bourbonnais,,,,,
11258,batavia,,,,,
11259,belleville,,,,,
11260,milwaukee,,,,,
11261,milwaukee,,,,,
11262,duncanville,,,,,
11263,huntington,,,,,
11264,norfolk,,,,,
11265,college station,,,,,
11266,round rock,,,,,
11267,rockford,,,,,
11268,honolulu,,,,,
11269,urbandale,,,,,
11270,abilene,,,,,
11271,hammond,,,,,
11272,sterling,,,,,
11273,racine,,,,,
11274,fargo,,,,,
11275,sandusky,,,,,
11276,sandusky,,,,,
11277,altoona,,,,,
11278,lexington,,,,,
11279,honolulu,,,,,
11280,clovis,,,,,
11281,abilene,,,,,
11282,deridder,,,,,
11283,union city,,,,,
11284,norfolk,,,,,
11285,fall river,,,,,
11286,elk grove,,,,,
11287,hobbs,,,,,
11288,westbury,,,,,
11289,pickens,,,,,
11290,portsmouth,,,,,
11291,germantown,,,,,
11292,bourbonnais,,,,,
11293,belleville,,,,,
11294,borger,,,,,
11295,kent,,,,,
11296,carmichael,,,,,
11297,norfolk,,,,,
11298,racine,,,,,
11299,milwaukee,,,,,
11300,randleman,,,,,
11301,quincy,,,,,
11302,san juan,,,,,
11303,barstow,,,,,
11304,chalfont,,,,,
11305,salem,,,,,
11306,lexington,,,,,
11307,fargo,,,,,
11308,fargo,,,,,
11309,montrose,,,,,
11310,wake forest,,,,,
11311,barrington,,,,,
11312,florence,,,,,
11313,hendersonville,,,,,
11314,san juan,,,,,
11315,thousand oaks,,,,,
11316,kodak,,,,,
11317,san juan,,,,,
11318,lorain,,,,,
11319,clewiston,,,,,
11320,lombard,,,,,
11321,erie,,,,,
11322,san luis río colorado,,,,,
11323,milwaukee,,,,,
11324,milwaukee,,,,,
11325,theodore,,,,,
11326,fall river,,,,,
11327,odessa,,,,,
11328,milwaukee,,,,,
11329,belleville,,,,,
11330,hermitage,,,,,
11331,pacoima,,,,,
11332,carrollton,,,,,
11333,washougal,,,,,
11334,senatobia,,,,,
11335,portsmouth,,,,,
11336,belleville,,,,,
11337,vestal,,,,,
11338,laredo,,,,,
11339,kyle,,,,,
11340,rockford,,,,,
11341,yukon,,,,,
11342,sterling,,,,,
11343,mankato,,,,,
11344,red hook,,,,,
11345,fall river,,,,,
11346,nuevo laredo,,,,,
11347,san juan,,,,,
11348,east orange,,,,,
11349,birdsboro,,,,,
11350,wappingers falls,,,,,
11351,new baltimore,,,,,
11352,london,,,,,
11353,danville,,,,,
11354,hanover,,,,,
11355,danville,,,,,
11356,chalmette,,,,,
11357,milwaukee,,,,,
11358,honolulu,,,,,
11359,birdsboro,,,,,
11360,erie,,,,,
11361,alpharetta,,,,,
11362,temple,,,,,
11363,ciudad juárez,,,,,
11364,bakersfield,,,,,
11365,east orange,,,,,
11366,slidell,,,,,
11367,daytona beach,,,,,
11368,fulton,,,,,
11369,fulton,,,,,
11370,bridgeport,,,,,
11371,takoma park,,,,,
11372,bridgeton,,,,,
11373,locust,,,,,
11374,waterloo,,,,,
11375,streamwood,,,,,
11376,norfolk,,,,,
11377,lodi,,,,,
11378,round rock,,,,,
11379,rio grande,,,,,
11380,langston,,,,,
11381,milwaukee,,,,,
11382,merrillville,,,,,
11383,warner robins,,,,,
11384,bakersfield,,,,,
11385,hollister,,,,,
11386,jamestown,,,,,
11387,hurricane,,,,,
11388,bridgeton,,,,,
11389,sparks,,,,,
11390,nogales,,,,,
11391,newnan,,,,,
11392,rockmart,,,,,
11393,bakersfield,,,,,
11394,florence,,,,,
11395,abilene,,,,,
11396,bowling green,,,,,
11397,north augusta,,,,,
11398,rockford,,,,,
11399,brownsville,,,,,
11400,milwaukee,,,,,
11401,belleville,,,,,
11402,south bend,,,,,
11403,manor,,,,,
11404,portsmouth,,,,,
11405,south bend,,,,,
11406,rocky mount,,,,,
11407,bakersfield,,,,,
11408,corona,,,,,
11409,kent,,,,,
11410,bakersfield,,,,,
11411,honolulu,,,,,
11412,pueblo,,,,,
11413,belleville,,,,,
11414,bridgeton,,,,,
11415,danville,,,,,
11416,danville,,,,,
11417,sedro-woolley,,,,,
11418,san sebastian,,,,,
11419,cedar rapids,,,,,
11420,front royal,,,,,
11421,racine,,,,,
11422,kent,,,,,
11423,dolton,,,,,
11424,elkton,,,,,
11425,kent,,,,,
11426,lorain,,,,,
11427,san juan,,,,,
11428,plano,,,,,
11429,danville,,,,,
11430,pueblo,,,,,
11431,olympia,,,,,
11432,college station,,,,,
11433,eustis,,,,,
11434,warner robins,,,,,
11435,topeka,,,,,
11436,milwaukee,,,,,
11437,knightdale,,,,,
11438,lithonia,,,,,
11439,clearwater,,,,,
11440,hastings,,,,,
11441,surprise,,,,,
11442,maryville,,,,,
11443,clewiston,,,,,
11444,san juan,,,,,
11445,bourbonnais,,,,,
11446,utica,,,,,
11447,warner robins,,,,,
11448,san juan,,,,,
11449,racine,,,,,
11450,woodland,,,,,
11451,port saint lucie,,,,,
11452,overland,,,,,
11453,horseheads,,,,,
11454,waipahu,,,,,
11455,lawton,,,,,
11456,lexington,,,,,
11457,topeka,,,,,
11458,carson city,,,,,
11459,port arthur,,,,,
11460,knightdale,,,,,
11461,mchenry,,,,,
11462,florence,,,,,
11463,milwaukee,,,,,
11464,florence,,,,,
11465,pueblo,,,,,
11466,paducah,,,,,
11467,erie,,,,,
11468,clovis,,,,,
11469,lawrence,,,,,
11470,savannah,,,,,
11471,leesville,,,,,
11472,mount airy,,,,,
11473,cary,,,,,
11474,cedar rapids,,,,,
11475,san juan,,,,,
11476,lexington,,,,,
11477,paramount,,,,,
11478,milwaukee,,,,,
11479,goldsboro,,,,,
11480,greer,,,,,
11481,oak creek,,,,,
11482,pittsburg,,,,,
11483,rolla,,,,,
11484,kirkwood,,,,,
11485,milwaukee,,,,,
11486,eaton rapids,,,,,
11487,apopka,,,,,
11488,kinston,,,,,
11489,lithonia,,,,,
11490,kent,,,,,
11491,north port,,,,,
11492,parkersburg,,,,,
11493,willowbrook,,,,,
11494,carrollton,,,,,
11495,blythe,,,,,
11496,jasper,,,,,
11497,corona,,,,,
11498,downey,,,,,
11499,smyrna,,,,,
11500,cypress,,,,,
11501,locust,,,,,
11502,montgomery,,,,,
11503,round rock,,,,,
11504,wolcottville,,,,,
11505,belleville,,,,,
11506,lititz,,,,,
11507,ypsilanti,,,,,
11508,mooresville,,,,,
11509,vacaville,,,,,
11510,wilson,,,,,
11511,corona,,,,,
11512,lomita,,,,,
11513,milwaukee,,,,,
11514,danville,,,,,
11515,lexington,,,,,
11516,griffin,,,,,
11517,savannah,,,,,
11518,skokie,,,,,
11519,palmetto,,,,,
11520,la paz,,,,,
11521,horseheads,,,,,
11522,trujillo alto,,,,,
11523,savannah,,,,,
11524,barrington,,,,,
11525,stafford,,,,,
11526,belleville,,,,,
11527,sarasota,,,,,
11528,carlisle,,,,,
11529,college station,,,,,
11530,lexington,,,,,
11531,erie,,,,,
11532,kent,,,,,
11533,olympia,,,,,
11534,lake jackson,,,,,
11535,college park,,,,,
11536,conyers,,,,,
11537,san juan,,,,,
11538,newaygo,,,,,
11539,saint george,,,,,
11540,riverton,,,,,
11541,palatka,,,,,
11542,cypress,,,,,
11543,belleville,,,,,
11544,batavia,,,,,
11545,east chicago,,,,,
11546,san juan,,,,,
11547,west monroe,,,,,
11548,pueblo,,,,,
11549,lombard,,,,,
11550,norfolk,,,,,
11551,lorain,,,,,
11552,belleville,,,,,
11553,south bend,,,,,
11554,apollo,,,,,
11555,perry,,,,,
11556,altoona,,,,,
11557,myersville,,,,,
11558,port arthur,,,,,
11559,honolulu,,,,,
11560,skokie,,,,,
11561,west babylon,,,,,
11562,bridgeport,,,,,
11563,carrollton,,,,,
11564,fall river,,,,,
11565,horseheads,,,,,
11566,suffolk,,,,,
11567,portsmouth,,,,,
11568,chalmette,,,,,
11569,fairfax,,,,,
11570,pueblo,,,,,
11571,laredo,,,,,
11572,port saint lucie,,,,,
11573,spring valley,,,,,
11574,chalmette,,,,,
11575,brownsville,,,,,
11576,oak ridge,,,,,
11577,honolulu,,,,,
11578,milwaukee,,,,,
11579,erie,,,,,
11580,winter park,,,,,
11581,west sacramento,,,,,
11582,norfolk,,,,,
11583,painesville,,,,,
11584,athol,,,,,
11585,stafford,,,,,
11586,goshen,,,,,
11587,myersville,,,,,
11588,westminster,,,,,
11589,overland,,,,,
11590,lake jackson,,,,,
11591,rockford,,,,,
11592,rockford,,,,,
11593,laredo,,,,,
11594,grandview,,,,,
11595,wilson,,,,,
11596,goshen,,,,,
11597,brownsville,,,,,
11598,laredo,,,,,
11599,belleville,,,,,
11600,gaithersburg,,,,,
11601,kinston,,,,,
11602,lima,,,,,
11603,wright city,,,,,
11604,lithonia,,,,,
11605,elburn,,,,,
11606,altoona,,,,,
11607,norfolk,,,,,
11608,arlington heights,,,,,
11609,phillipsburg,,,,,
11610,kent,,,,,
11611,college park,,,,,
11612,thornton,,,,,
11613,cary,,,,,
11614,panama city,,,,,
11615,santo domingo este,,,,,
11616,norfolk,,,,,
11617,maryville,,,,,
11618,milwaukee,,,,,
11619,brockton,,,,,
11620,kent,,,,,
11621,cary,,,,,
11622,taunton,,,,,
11623,belleville,,,,,
11624,south bend,,,,,
11625,danville,,,,,
11626,round rock,,,,,
11627,bowling green,,,,,
11628,belleville,,,,,
11629,cypress,,,,,
11630,walnut,,,,,
11631,laredo,,,,,
11632,guadalajara,,,,,
11633,east orange,,,,,
11634,norfolk,,,,,
11635,slidell,,,,,
11636,new kensington,,,,,
11637,milwaukee,,,,,
11638,hanover,,,,,
11639,san juan,,,,,
11640,fall river,,,,,
11641,creedmoor,,,,,
11642,carrollton,,,,,
11643,bridgeport,,,,,
11644,florence,,,,,
11645,milwaukee,,,,,
11646,norfolk,,,,,
11647,cary,,,,,
11648,duluth,,,,,
11649,odessa,,,,,
11650,riverhead,,,,,
11651,danville,,,,,
11652,wilson,,,,,
11653,milwaukee,,,,,
11654,lakeland,,,,,
11655,bakersfield,,,,,
11656,frankfort,,,,,
11657,schenectady,,,,,
11658,maywood,,,,,
11659,roscoe,,,,,
11660,abilene,,,,,
11661,savannah,,,,,
11662,round rock,,,,,
11663,lodi,,,,,
11664,norfolk,,,,,
11665,east orange,,,,,
11666,ocoee,,,,,
11667,savannah,,,,,
11668,brownsville,,,,,
11669,fall river,,,,,
11670,belleville,,,,,
11671,skokie,,,,,
11672,pacoima,,,,,
11673,slidell,,,,,
11674,parkersburg,,,,,
11675,bullhead city,,,,,
11676,norcross,,,,,
11677,thousand oaks,,,,,
11678,port arthur,,,,,
11679,milwaukee,,,,,
11680,spring valley,,,,,
11681,waterbury,,,,,
11682,clovis,,,,,
11683,milwaukee,,,,,
11684,temple,,,,,
11685,milwaukee,,,,,
11686,belton,,,,,
11687,sylvania,,,,,
11688,de pere,,,,,
11689,candler,,,,,
11690,waterbury,,,,,
11691,palatine,,,,,
11692,new windsor,,,,,
11693,wallington,,,,,
11694,belleville,,,,,
11695,kyle,,,,,
11696,bronxville,,,,,
11697,goldsboro,,,,,
11698,goldsboro,,,,,
11699,belleville,,,,,
11700,college station,,,,,
11701,cedar rapids,,,,,
11702,honolulu,,,,,
11703,abbeville,,,,,
11704,bakersfield,,,,,
11705,kent,,,,,
11706,muncie,,,,,
11707,ballwin,,,,,
11708,batavia,,,,,
11709,easton,,,,,
11710,kent,,,,,
11711,eden,,,,,
11712,bullhead city,,,,,
11713,gretna,,,,,
11714,boiling springs,,,,,
11715,corpus christi,,,,,
11716,pacoima,,,,,
11717,chalmette,,,,,
11718,south bend,,,,,
11719,milwaukee,,,,,
11720,sanderson,,,,,
11721,rocky mount,,,,,
11722,gulf shores,,,,,
11723,bullhead city,,,,,
11724,willowbrook,,,,,
11725,glen burnie,,,,,
11726,jamestown,,,,,
11727,spring valley,,,,,
11728,wooster,,,,,
11729,aguadilla,,,,,
11730,lima,,,,,
11731,boonsboro,,,,,
11732,wilkesboro,,,,,
11733,bakersfield,,,,,
11734,newnan,,,,,
11735,seaford,,,,,
11736,slidell,,,,,
11737,rio grande,,,,,
11738,connelly springs,,,,,
11739,slidell,,,,,
11740,fargo,,,,,
11741,san juan,,,,,
11742,rockford,,,,,
11743,berlin,,,,,
11744,goshen,,,,,
11745,west bend,,,,,
11746,mill valley,,,,,
11747,martinsville,,,,,
11748,taft,,,,,
11749,stafford,,,,,
11750,wylie,,,,,
11751,kinston,,,,,
11752,jersey city,,,,,
11753,abilene,,,,,
11754,bakersfield,,,,,
11755,grand blanc,,,,,
11756,portsmouth,,,,,
11757,slidell,,,,,
11758,utica,,,,,
11759,goldsboro,,,,,
11760,roseburg,,,,,
11761,belleville,,,,,
11762,neptune city,,,,,
